"NEW HOPE CORPORATION LIMITED","NHC",
"NIB HOLDINGS LIMITED","NHF",
"NATIONAL STORAGE REIT","NSR",
"NORTHERN STAR RESOURCES LTD","NST",
"NUFARM LIMITED","NUF",
"NOVONIX LIMITED","NVX",
"NRW HOLDINGS LIMITED","NWH",
"NETWEALTH GROUP LIMITED","NWL",
"NEWS CORPORATION..","NWS",
"NEXTDC LIMITED","NXT",
"OMNI BRIDGEWAY LIMITED","OBL",
"OBJECTIVE CORPORATION LIMITED","OCL",
"OFX GROUP LIMITED","OFX",
"BETASHARES CRUDE OIL INDEX ETF-CURRENCY HEDGED (SYNTHETIC)","OOO",
"ORORA LIMITED","ORA",
"ORIGIN ENERGY LIMITED","ORG",
"ORICA LIMITED","ORI",
"SPDR S&P/ASX 200 FINANCIALS EX A-REIT FUND","OZF",
"OZ MINERALS LIMITED","OZL",
"PACIFIC CURRENT GROUP LIMITED","PAC",
"POINTSBET HOLDINGS LIMITED","PBH",
"PENDAL GROUP LIMITED","PDL",
"PROPEL FUNERAL PARTNERS LIMITED","PFP",
"PACT GROUP HOLDINGS LTD","PGH",
"PLATINUM INTERNATIONAL FUND (QUOTED MANAGED HEDGE FUND)","PIXX",
"PILBARA MINERALS LIMITED","PLS",
"PRO MEDICUS LIMITED","PME",
"PREMIER INVESTMENTS LIMITED","PMV",
"PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED","PNI",
"PEOPLEIN LIMITED","PPE",
"PPK GROUP LIMITED","PPK",
"PERPETUAL LIMITED","PPT",
"PERSEUS MINING LIMITED","PRU",
"PSC INSURANCE GROUP LIMITED","PSI",
"PACIFIC SMILES GROUP LIMITED","PSQ",
"PLATINUM ASSET MANAGEMENT LIMITED","PTM",
"PWR HOLDINGS LIMITED","PWH",
"PETER WARREN AUTOMOTIVE HOLDINGS LIMITED","PWR",
"PEXA GROUP LIMITED","PXA",
"QUALITAS LIMITED","QAL",
"QANTAS AIRWAYS LIMITED","QAN",
"QBE INSURANCE GROUP LIMITED","QBE",
"BETASHARES AUSTRALIAN RESOURCES SECTOR ETF","QRE",
"VANECK MSCI INTL SMALL COMPANIES QUALITY ETF","QSML",
"VANECK MSCI INTERNATIONAL QUALITY ETF","QUAL",
"QUBE HOLDINGS LIMITED","QUB",
"RACE ONCOLOGY LTD","RAC",
"RUSSELL INVESTMENTS HIGH DIVIDEND AUSTRALIAN SHARES ETF","RDV",
"READYTECH HOLDINGS LIMITED","RDY",
"REA GROUP LTD","REA",
"REGIS HEALTHCARE LIMITED","REG",
"REECE LIMITED","REH",
"RURAL FUNDS GROUP","RFF",
"RAMSAY HEALTH CARE LIMITED","RHC",
"RIDLEY CORPORATION LIMITED","RIC",
"RIO TINTO LIMITED","RIO",
"RESMED INC","RMD",
"ETFS ROBO GLOBAL ROBOTICS AND AUTOMATION ETF","ROBO",
"REGAL PARTNERS LIMITED","RPL",
"RPMGLOBAL HOLDINGS LIMITED","RUL",
"RELIANCE WORLDWIDE CORPORATION LIMITED","RWC",
"SOUTH32 LIMITED","S32",
"SCENTRE GROUP","SCG",
"SHOPPING CENTRES AUSTRALASIA PROPERTY GROUP","SCP",
"STEADFAST GROUP LIMITED","SDF",
"SUNLAND GROUP LIMITED","SDG",
"SITEMINDER LIMITED","SDR",
"SEEK LIMITED","SEK",
"ETFS SEMICONDUCTOR ETF","SEMI",
"SCHAFFER CORPORATION LIMITED","SFC",
"SANDFIRE RESOURCES LIMITED","SFR",
"SG FLEET GROUP LIMITED","SGF",
"RICEGROWERS LIMITED","SGLLV",
"SIMS LIMITED","SGM",
"STOCKLAND","SGP",
"THE STAR ENTERTAINMENT GROUP LIMITED","SGR",
"SONIC HEALTHCARE LIMITED","SHL",
"SELECT HARVESTS LIMITED","SHV",
"SMARTGROUP CORPORATION LTD","SIQ",
"SKYCITY ENTERTAINMENT GROUP LIMITED","SKC",
"SILEX SYSTEMS LIMITED","SLX",
"STANMORE RESOURCES LIMITED","SMR",
"ETFS ULTRA SHORT NASDAQ 100 HEDGE FUND","SNAS",
"SUPPLY NETWORK LIMITED","SNL",
"WASHINGTON H SOUL PATTINSON & COMPANY LIMITED","SOL",
"SPARK NEW ZEALAND LIMITED","SPK",
"BLOCK INC.","SQ2",
"SERVCORP LIMITED","SRV",
"SSR MINING INC.","SSR",
"STEAMSHIPS TRADING COMPANY LIMITED","SST",
"SANTOS LIMITED","STO",
"SPDR S&P/ASX 200 FUND","STW",
"SUPER RETAIL GROUP LIMITED","SUL",
"SUNCORP GROUP LIMITED","SUN",
"SEVEN GROUP HOLDINGS LIMITED","SVW",
"SYMBIO HOLDINGS LIMITED","SYM",
"TRANSURBAN GROUP","TCL",
"TASSAL GROUP LIMITED","TGR",
"THE LOTTERY CORPORATION LIMITED","TLC",
"TELSTRA CORPORATION LIMITED.","TLS",
"TELIX PHARMACEUTICALS LIMITED","TLX",
"TECHNOLOGY ONE LIMITED","TNE",
"TPG TELECOM LIMITED.","TPG",
"TEMPLE & WEBSTER GROUP LTD","TPW",
"TRAJAN GROUP HOLDINGS LIMITED","TRJ",
"TREASURY WINE ESTATES LIMITED","TWE",
"UNITED MALT GROUP LIMITED","UMG",
"UNIVERSAL STORE HOLDINGS LIMITED","UNI",
"UNIBAIL-RODAMCO-WESTFIELD","URW",
